,participant,block_num,trial_num,condition,rt,low_opt_feed,mid_opt_feed,high_opt_feed,selected_option,selected_fvalue,difficulty,magnitude,choice,rt_quantile
2406,13,4,14,BDF,0.337,32,38,51,D,38,easy,high,2,1
2407,13,4,15,ABC,0.337,35,30,33,B,30,hard,low,2,1
2408,13,4,16,BDF,0.293,33,43,53,D,43,easy,high,2,1
2409,13,4,17,DEF,0.774,34,38,46,F,46,hard,high,3,3
2410,13,4,18,ABC,0.433,21,39,38,B,39,hard,low,2,1
2411,13,4,19,DEF,0.279,47,50,42,F,42,hard,high,3,1
2412,13,4,20,BDF,0.283,31,45,52,B,31,easy,high,1,1
2413,13,4,21,ACE,0.508,35,42,42,A,35,easy,low,1,2
2414,13,4,22,DEF,0.318,42,49,41,D,42,hard,high,1,1
2415,13,4,23,ACE,0.238,36,35,40,E,40,easy,low,3,1
2416,13,4,24,DEF,0.543,49,50,47,E,50,hard,high,2,2
2417,13,4,25,BDF,0.282,33,44,50,B,33,easy,high,1,1
2418,13,4,26,ABC,0.785,28,34,35,B,34,hard,low,2,3
2419,13,4,27,BDF,0.976,28,44,53,D,44,easy,high,2,4
2420,13,4,28,ABC,1.792,31,40,31,A,31,hard,low,1,5
2421,13,4,29,ACE,1.114,25,42,47,C,42,easy,low,2,4
2422,13,4,30,DEF,3.798,50,51,58,F,58,hard,high,3,6
2423,13,4,31,ACE,1.974,32,46,39,E,39,easy,low,3,5
2424,13,4,32,DEF,1.953,39,54,50,F,50,hard,high,3,6
2425,13,4,33,BDF,1.321,34,45,57,D,45,easy,high,2,5
2426,13,4,34,DEF,1.705,39,42,42,F,42,hard,high,3,6
2427,13,4,35,ABC,1.098,34,35,36,A,34,hard,low,1,4
2428,13,4,36,BDF,1.376,25,35,46,D,35,easy,high,2,5
2429,13,4,37,DEF,1.013,40,51,60,F,60,hard,high,3,4
2430,13,4,38,ACE,1.421,24,41,45,E,45,easy,low,3,5
2431,13,4,39,BDF,1.103,40,40,38,F,38,easy,high,3,5
2432,13,4,40,ABC,1.041,33,38,39,A,33,hard,low,1,4
2433,13,4,41,DEF,1.181,36,39,51,F,51,hard,high,3,5
2434,13,4,42,ABC,0.896,31,33,34,B,33,hard,low,2,3
2435,13,4,43,BDF,1.02,34,47,45,D,47,easy,high,2,4
2436,13,4,44,ABC,0.84,38,38,33,A,38,hard,low,1,3
2437,13,4,45,BDF,0.742,34,48,62,F,62,easy,high,3,3
2438,13,4,46,DEF,0.805,38,50,57,D,38,hard,high,1,3
2439,13,4,47,ABC,0.77,26,42,46,B,42,hard,low,2,3
2440,13,4,48,BDF,0.521,37,43,52,F,52,easy,high,3,2
2441,13,4,49,ACE,2.004,23,33,55,C,33,easy,low,2,5
2442,13,4,50,DEF,0.937,38,46,43,F,43,hard,high,3,4
2443,13,4,51,BDF,1.122,30,42,50,B,30,easy,high,1,5
2444,13,4,52,ABC,0.633,26,33,31,A,26,hard,low,1,2
2445,13,4,53,BDF,0.539,41,49,49,F,49,easy,high,3,2
2446,13,4,54,ACE,0.644,31,39,52,A,31,easy,low,1,2
2447,13,4,55,ABC,0.585,29,28,43,A,29,hard,low,1,2
2448,13,4,56,DEF,0.497,45,45,52,F,52,hard,high,3,2
2449,13,4,57,ABC,0.649,30,32,34,A,30,hard,low,1,2
2450,13,4,58,BDF,0.806,40,43,49,B,40,easy,high,1,3
2451,13,4,59,DEF,0.929,43,37,50,D,43,hard,high,1,4
2452,13,4,60,BDF,1.629,36,45,51,D,45,easy,high,2,6
2453,13,4,61,DEF,1.612,46,50,41,D,46,hard,high,1,5
2454,13,4,62,BDF,1.103,34,37,49,F,49,easy,high,3,5
2455,13,4,63,DEF,0.551,39,51,54,F,54,hard,high,3,2
2456,13,4,64,ABC,0.72,27,35,38,A,27,hard,low,1,3
2457,13,4,65,BDF,1.258,37,44,47,F,47,easy,high,3,5
2458,13,4,66,ACE,1.154,29,41,58,A,29,easy,low,1,4
2459,13,4,67,ABC,1.329,22,36,40,A,22,hard,low,1,5
2460,13,4,68,ACE,0.486,28,34,50,A,28,easy,low,1,1
2461,13,4,69,DEF,2.195,48,43,56,F,56,hard,high,3,6
2462,13,4,70,ABC,0.764,30,32,44,C,44,hard,low,3,3
2463,13,4,71,BDF,0.61,39,40,56,D,40,easy,high,2,2
2464,13,4,72,DEF,0.631,43,46,51,F,51,hard,high,3,2
2465,13,4,73,ACE,0.639,31,33,42,A,31,easy,low,1,2
2466,13,4,74,DEF,0.806,40,43,47,F,47,hard,high,3,3
2467,13,4,75,ACE,0.86,28,30,44,C,30,easy,low,2,3
2468,13,4,76,DEF,0.898,44,46,51,D,44,hard,high,1,3
2469,13,4,77,ACE,0.444,26,40,40,A,26,easy,low,1,1
2470,13,4,78,BDF,2.249,43,41,48,F,48,easy,high,3,6
2471,13,4,79,ABC,2.78,25,32,42,C,42,hard,low,3,6
2472,13,4,80,ACE,1.021,36,35,52,E,52,easy,low,3,4
2473,13,4,81,ABC,1.739,36,29,34,C,34,hard,low,3,5
2474,13,4,82,DEF,1.167,54,53,53,F,53,hard,high,3,5
2475,13,4,83,ACE,1.385,28,36,45,C,36,easy,low,2,4
2476,13,4,84,ABC,0.955,33,37,32,A,33,hard,low,1,4
2477,13,4,85,BDF,1.22,32,47,46,F,46,easy,high,3,5
2478,13,4,86,ABC,0.69,29,29,45,A,29,hard,low,1,3
2479,13,4,88,ACE,0.863,31,36,56,E,56,easy,low,3,3
2480,13,4,89,ABC,1.698,27,31,35,C,35,hard,low,3,5
2481,13,4,90,BDF,0.901,35,48,44,F,44,easy,high,3,4
2482,13,4,91,ACE,1.202,29,37,47,E,47,easy,low,3,4
